main,probe,move,version,SP,numInsertions,trialsToRun,stopError,alpha,beta,queryPercentage,deletePercentage,randomSeed,nthreads,HashAttempts,InitSize,cooloff,enfTemp,tempvar,lines,Milliseconds-Min,Milliseconds-Max,Milliseconds-Range,Milliseconds-Avg,Milliseconds-Median,Milliseconds-SD,Milliseconds-TMin,Milliseconds-TMax,Milliseconds-TRange,Milliseconds-TAvg,Milliseconds-TMedian,Milliseconds-TSD,Memusage-Min,Memusage-Max,Memusage-Range,Memusage-Avg,Memusage-Median,Memusage-SD,Barrier Gap-Max->Min,Barrier Gap-Max->Median
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.000000,0.000000,1570356014,1,1,262144,0,0,1.100000,0.500000,29808.533871,30840.304048,1031.770177,30723.557159,30823.179884,305.125013,30814.438304,30837.287439,22.849135,30823.341709,30823.179884,7.579807,0.117508,0.117511,0.000003,0.117509,0.117510,0.000001,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.000000,0.000000,1570356397,1,2,262144,0,0,1.100000,0.500000,47810.750411,48362.411481,551.661070,48266.142396,48315.650139,153.760315,48270.719906,48336.822592,66.102686,48311.032758,48315.650139,21.364661,0.470714,0.470727,0.000012,0.470721,0.470722,0.000004,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.000000,0.000000,1570356951,1,1,262144,0,0,1.100000,1.000000,44035.858764,44829.939566,794.080802,44718.796028,44786.419051,228.363324,44770.034837,44823.786712,53.751875,44790.270244,44786.419051,15.302685,0.235125,0.235136,0.000012,0.235131,0.235134,0.000004,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.000000,0.000000,1570357472,1,2,262144,0,0,1.100000,1.000000,60512.626136,62541.960164,2029.334028,62299.666768,62491.681066,596.359698,62449.406453,62538.589838,89.183385,62492.760173,62491.681066,27.267375,0.470706,0.470730,0.000024,0.470721,0.470726,0.000007,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.000000,0.000000,1570358167,1,1,262144,0,0,1.100000,2.000000,56771.310206,57599.307636,827.997430,57494.715034,57571.697725,241.465431,57553.521741,57592.072106,38.550365,57572.066563,57571.697725,10.812692,0.235127,0.470734,0.235607,0.329368,0.352923,0.115416,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.000000,0.000000,1570358815,1,2,262144,0,0,1.100000,2.000000,96141.324502,97787.344500,1646.019998,97538.753733,97681.847132,469.198963,97610.696521,97780.988613,170.292092,97682.358541,97681.847132,52.311709,0.470711,0.470730,0.000019,0.470721,0.470718,0.000007,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.500000,0.500000,1570359862,1,1,67108864,0,0,1.100000,0.500000,9321.225463,9346.786868,25.561405,9338.317642,9341.342472,7.668216,9328.340803,9344.869681,16.528878,9339.395511,9341.342472,5.182309,0.067603,0.067627,0.000023,0.067614,0.067612,0.000007,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.500000,0.500000,1570360031,1,2,67108864,0,0,1.100000,0.500000,11753.001847,11763.666340,10.664493,11756.265672,11754.540642,3.602519,11753.280251,11762.362429,9.082178,11755.748566,11754.540642,2.788813,0.157750,0.157802,0.000052,0.157773,0.157759,0.000018,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.500000,0.500000,1570360223,1,1,67108864,0,0,1.100000,1.000000,9096.565991,9111.124400,14.558409,9101.638730,9099.666384,4.452848,9098.325424,9108.087544,9.762120,9101.087113,9099.666384,3.164919,0.157706,0.157790,0.000084,0.157766,0.157766,0.000024,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.500000,0.500000,1570360388,1,2,67108864,0,0,1.100000,1.000000,11589.270758,11611.620591,22.349833,11602.230203,11603.408896,5.634156,11596.881915,11605.255846,8.373931,11602.676335,11603.408896,2.732175,0.157745,0.157798,0.000053,0.157772,0.157783,0.000016,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.500000,0.500000,1570360578,1,1,67108864,0,0,1.100000,2.000000,9051.137925,9062.876249,11.738324,9058.327450,9058.115855,3.529198,9055.325305,9062.843435,7.518130,9058.657540,9058.115855,2.532289,0.157730,0.157783,0.000053,0.157763,0.157750,0.000016,0.000000,0.000000
